poll_id;message_id;question;proportion;type;author_id;channel_id;guild_id;timestamp;duration;closed;votes
7;1445557856786186253;"q";0.5;"l";1283005952509087755;1443973512636399777;1424789525493973066;1764718250;604800;1;767059570710413384,452502457684197399,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:n,826362651324055572,386892659442057221,946442002558492692,692717393503453284:n,1292762566606585858,779843063131930694,1365387648080023572,947480095730315285,778605583988817971,414505451523276810,670687441291706368,688394725237063774,639915550289428510,290399324217802753,690595764900200570,518833508983111691,516631614319624193,1395746373139431565,322762034007638017,756865029067898960:o,581187099252752395,626799515688763410,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100
8;1445574067137810513;"question 2";0.5;"l";1283005952509087755;1443973512636399777;1424789525493973066;1764722114;604800;1;767059570710413384,452502457684197399,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694,1365387648080023572,947480095730315285,778605583988817971,414505451523276810,670687441291706368,688394725237063774,639915550289428510,290399324217802753,690595764900200570,518833508983111691,516631614319624193,1395746373139431565,322762034007638017,756865029067898960:o,581187099252752395,626799515688763410,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100
9;1445806125495750749;"test";0.5;"l";756865029067898960;1443973512636399777;1424789525493973066;1764777441;604800;1;767059570710413384,452502457684197399,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694,1365387648080023572,886202091222233128:o,947480095730315285,778605583988817971,414505451523276810,670687441291706368,688394725237063774,639915550289428510,290399324217802753,690595764900200570,518833508983111691,516631614319624193,1395746373139431565,322762034007638017,756865029067898960:n,581187099252752395,626799515688763410,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100
10;1446253365297283125;"q";0.5;"l";1283005952509087755;1446235846520078426;1424789525493973066;1764884072;604800;1;767059570710413384,452502457684197399,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,692717393503453284:n,1292762566606585858,779843063131930694,1365387648080023572,947480095730315285,778605583988817971,414505451523276810,670687441291706368,688394725237063774,639915550289428510,290399324217802753,690595764900200570,518833508983111691,516631614319624193,1395746373139431565,322762034007638017,756865029067898960:o,581187099252752395,626799515688763410,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100
12;1449763893755904122;"Souhaitez-vous l'adoption des "Révisions constitutionnelles XV - Dénomination des citoyens permanents" ?";0.75;"r";1283005952509087755;1424830966287044678;1424789525493973066;1765721047;604800;1;767059570710413384:b,452502457684197399:b,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285,778605583988817971:o,670687441291706368:b,688394725237063774:o,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655:b,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:b,777127599569633310:o,442350609174233100:o,376057817720815628,1405844093237465089:o
13;1449767131305480262;"Souhaitez-vous l'adoption des "Révisions constitutionnelles XVI - Statut municipal" ?";0.75;"r";1283005952509087755;1424830966287044678;1424789525493973066;1765721819;604800;1;767059570710413384,452502457684197399:o,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:b,1365387648080023572,947480095730315285,778605583988817971:o,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:n,581187099252752395,1127299739017285655,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:o,777127599569633310:o,442350609174233100:n,376057817720815628:o,1405844093237465089
14;1449768628256768165;"Souhaitez-vous l'adoption du Code général communal ?";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1765722176;604800;1;767059570710413384,452502457684197399:b,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:b,1365387648080023572,947480095730315285,778605583988817971:o,670687441291706368,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:n,581187099252752395,1127299739017285655,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:b,777127599569633310:o,442350609174233100:o,376057817720815628,1405844093237465089:o
15;1449769954726379611;"Souhaitez-vous l'adoption des "Révisions constitutionnelles XVII - Résidence" ?";0.75;"r";1283005952509087755;1424830966287044678;1424789525493973066;1765722492;604800;1;767059570710413384,452502457684197399:o,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285,778605583988817971,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:o,777127599569633310:o,442350609174233100:o,376057817720815628,1405844093237465089:o
16;1449780766593650901;"Souhaitez-vous l'adoption de la "Proposition de loi - Prix spécial du sauvetage de gnocchis" ?";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1765725070;604800;1;767059570710413384,452502457684197399:n,1204140730654793751:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285,778605583988817971:o,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:b,756865029067898960:n,581187099252752395,1127299739017285655,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:b,777127599569633310:o,442350609174233100:o,376057817720815628,1405844093237465089:o
17;1449789712272326787;"Souhaitez-vous l'adoption des "Révisions constitutionnelles XVIII - Report des élections du conseil constitutionnel" ?";0.75;"r";1283005952509087755;1424830966287044678;1424789525493973066;1765727203;604800;1;767059570710413384,452502457684197399:n,1204140730654793751:b,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,266203842989785089,692717393503453284,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285,778605583988817971,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:b,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:b,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:o,777127599569633310:o,442350609174233100:b,376057817720815628,1405844093237465089:b
18;1449790850975404032;"Souhaitez-vous l'adoption de la "Proposition de loi - Contre le cumul de double-comptes citoyens" ?";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1765727474;604800;1;767059570710413384,452502457684197399:o,1204140730654793751:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221:o,946442002558492692,266203842989785089,692717393503453284,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285,778605583988817971:o,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:o,777127599569633310:o,442350609174233100:o,376057817720815628,1405844093237465089:b
19;1449811148428808374;"Souhaitez-vous l'adoption des "Révisions constitutionnelles XIX - Revendication territoriale temporelle" ?";0.75;"r";1283005952509087755;1424830966287044678;1424789525493973066;1765732313;604800;1;767059570710413384,452502457684197399:o,1204140730654793751:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572:n,386892659442057221:o,946442002558492692,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285:b,778605583988817971:o,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:b,581187099252752395,1127299739017285655,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100:o,376057817720815628,1405844093237465089,1449803263703650384
20;1449812289346601041;"Souhaitez-vous l'adoption de la "Proposition de loi - Loi promotion de l’humour normalien dans les noms de commerces" ?";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1765732585;604800;1;767059570710413384,452502457684197399:o,1204140730654793751:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572:o,386892659442057221:n,946442002558492692,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694,1365387648080023572,947480095730315285:n,778605583988817971:o,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:b,581187099252752395,1127299739017285655,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:b,777127599569633310:o,442350609174233100:o,376057817720815628:o,1405844093237465089:o,1449803263703650384
21;1450547558723092641;"Souhaitez-vous l'adoption de la "Proposition de loi - Reconnaissance unilatérale de la Palestine" ?";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1765907887;604800;1;767059570710413384:o,452502457684197399:o,1204140730654793751:o,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858:o,779843063131930694:o,1365387648080023572,947480095730315285:n,778605583988817971:o,1405844093237465089,670687441291706368:o,688394725237063774,290399324217802753:b,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:b,581187099252752395,1127299739017285655,626799515688763410:o,376057817720815628:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,777127599569633310:o,442350609174233100:o,539168852429242397
22;1454066726164496426;"Souhaitez-vous l'adoption de la "Proposition de loi - Reconnaissance mutuelle avec la Nesquacie"";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1766746922;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089:b,746035946247684126,670687441291706368:o,688394725237063774:o,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655:o,626799515688763410,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o;1768679725
23;1454067199429054495;"Proposition de loi - Reconnaissance mutuelle avec Espradal";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1766747035;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089:b,746035946247684126,670687441291706368:o,688394725237063774:o,290399324217802753,518833508983111691,516631614319624193,1395746373139431565:b,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655:o,626799515688763410,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o;1768679731
24;1454067401451634824;"Proposition de loi - Reconnaissance mutuelle avec Vahyxia";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1766747083;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694:b,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089:b,746035946247684126:o,670687441291706368:o,688394725237063774:o,290399324217802753,518833508983111691,516631614319624193,1395746373139431565:o,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655:o,626799515688763410:b,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392:o,777127599569633310,442350609174233100:o;1768679737
25;1455239977364488363;"Proposition de loi - Fête nationale et autres jours de fête";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767026647;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221:o,946442002558492692,652889258343792661,692717393503453284,1292762566606585858,779843063131930694:o,1330300641108688968,1365387648080023572,947480095730315285:o,778605583988817971,1405844093237465089:o,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:o,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:b,581187099252752395,1127299739017285655,626799515688763410:o,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o,1223690418957586443,781224979919274014:o,1446577804018974860:o,1375846324301336676,1450816239592144957,1445807853028773940:n;1768679743
26;1455242095030833213;"Proposition de loi - Reconnaissance mutuelle avec la Crisardie";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767027152;604800;1;767059570710413384,452502457684197399:o,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221:b,946442002558492692:o,652889258343792661,692717393503453284,1292762566606585858,779843063131930694:b,1330300641108688968,1365387648080023572,947480095730315285:n,778605583988817971,1405844093237465089:b,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:n,516631614319624193,1395746373139431565:o,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:b,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o,1223690418957586443:o,781224979919274014:b,1446577804018974860:o,1375846324301336676,1450816239592144957:o,1445807853028773940:n;1768679749
27;1455242845719105550;"Proposition de loi - Reconnaissance mutuelle avec Mougins";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767027331;604800;1;767059570710413384,452502457684197399:n,1204140730654793751:o,539168852429242397:o,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221:b,946442002558492692:o,652889258343792661:b,692717393503453284:o,1292762566606585858,779843063131930694:o,1330300641108688968,1365387648080023572,947480095730315285:n,778605583988817971:b,1405844093237465089:b,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:b,516631614319624193,1395746373139431565:n,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:b,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o,1223690418957586443:o,781224979919274014:n,1446577804018974860:n,1375846324301336676:b,1450816239592144957:n,1445807853028773940:o;1768679755
28;1456318088818724955;"Souhaitez-vous l’adoption de «Code général communal correction» ?";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1767283687;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001:b,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,652889258343792661,692717393503453284:o,1292762566606585858,779843063131930694,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089:o,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:n,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960,581187099252752395,1127299739017285655,626799515688763410,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:n,442350609174233100,1223690418957586443,781224979919274014,1446577804018974860:n,1375846324301336676:o,1450816239592144957,1445807853028773940,708809413166891020:o,1201956865450455100:b;1768679761
29;1456319433583628413;"Souhaitez-vous l’adoption du «Règlement du serveur»";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1767284010;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001:b,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,652889258343792661,692717393503453284:o,1292762566606585858,779843063131930694:o,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:b,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:o,442350609174233100,1223690418957586443:o,781224979919274014,1446577804018974860:n,1375846324301336676:n,1450816239592144957,1445807853028773940,708809413166891020:o,1201956865450455100:o;1768679767
30;1458851489962397799;"Proposition de loi - Reconnaissance mutuelle avec la Cliponie";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767887699;604800;1;1375846324301336676:o,767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397:o,1445807853028773940,1449803263703650384,1201956865450455100:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,708809413166891020:o,652889258343792661,1223690418957586443:b,692717393503453284:o,1292762566606585858,779843063131930694:o,1330300641108688968,1365387648080023572:o,947480095730315285,778605583988817971:o,1446577804018974860,1405844093237465089,785588477890789406,1450816239592144957:o,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:b,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:o,376057817720815628,781224979919274014,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:b,442350609174233100,1289882684671397961:o
31;1458852113416196108;"Proposition de loi - Reconnaissance mutuelle avec la République des Gaufres Salées";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767887847;604800;1;1375846324301336676:o,767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397:o,1445807853028773940,1449803263703650384,1201956865450455100:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,708809413166891020,652889258343792661,1223690418957586443:b,692717393503453284:o,1292762566606585858,779843063131930694:b,1330300641108688968,1365387648080023572:o,947480095730315285,778605583988817971:o,1446577804018974860,1405844093237465089,785588477890789406,1450816239592144957:o,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:o,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017,756865029067898960:b,581187099252752395,1127299739017285655,626799515688763410:o,376057817720815628,781224979919274014,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:b,442350609174233100,1289882684671397961:o
32;1458852806734774273;"Proposition de loi - Reconnaissance mutuelle avec Melsigard";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767888013;604800;1;1375846324301336676:o,767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397:o,1445807853028773940,1449803263703650384,1201956865450455100:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,708809413166891020,652889258343792661,1223690418957586443:o,692717393503453284:o,1292762566606585858,779843063131930694:o,1330300641108688968,1365387648080023572:o,947480095730315285,778605583988817971:o,1446577804018974860,1405844093237465089,785588477890789406,1450816239592144957:n,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:n,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:o,376057817720815628,781224979919274014,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:b,442350609174233100,1289882684671397961:o
33;1461462938060587221;"Proposition de loi - Reconnaissance mutuelle avec Fortunaris du Sud";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1768510316;604800;0;1375846324301336676,767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397:n,1445807853028773940,1449803263703650384,1201956865450455100:n,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,708809413166891020:o,1146539495643156660,652889258343792661,1223690418957586443:b,692717393503453284:o,1292762566606585858:n,779843063131930694:n,1330300641108688968,1365387648080023572:o,947480095730315285,778605583988817971:o,1446577804018974860,1405844093237465089:b,785588477890789406:b,1450816239592144957:n,453655366530629642,746035946247684126,670687441291706368,688394725237063774:o,503488413681319936:o,290399324217802753,518833508983111691,1170366911071146097:b,516631614319624193,438710647996284949:b,1395746373139431565:o,432178088252669954,1251522518963982369,322762034007638017,756865029067898960:o,1154074952371277884,822479491703898123,581187099252752395,1127299739017285655:n,626799515688763410,376057817720815628,781224979919274014:b,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:b,1275529034876588215:n,1289882684671397961,953011260973269053,442350609174233100:o